PRODUCT,MATERIEL,GAMME,REFERENCE,DESCRIPTION,CATALOGUE,IMAGES PRODUIT,IMAGES AMBIENCE,MAIN COLOR,FINITION,ESPACES 1,ESPACES 2,ESPACES 3,ESPACES 4,ESPACES 5,ESPACES 6,UTILISATIONS,UTILISATIONS 2,UTILISATIONS 3,UTILISATIONS 4,UTILISATIONS 5,FORMATS,OPTIONS,FICHE TECNIQUE,ORIGINE
FUJI ,SLATE,FUJI,2000055328,"Spanish slate, natural cleft on both sides, edges sawn.
Fuji is a unique black tones slate with a characteristic riven and natural appearance. Its high resistance and elegance make the Fuji slate the perfect choice for any exterior project.",,"ARDOISE_MUSTANG_PALIS_80X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_80X50_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_100X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_120X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_120X50_PRODUCTO_WEB.jpg,ARDOISE_FUJI_TEXTURA_WEB.jpg",ARDOISE_FUJI_AMBIENTE_WEB.jpg,BLACK,NATURAL,,,,,,,,,,,,Several formats // Thickness 30 mm,SLABS,,
ANGOLA BLACK,GRANITE,GRANITE,,,,,,BLACK,WATERJET SILK,,,,,,,,,,,,Several formats // Thickness 20 mm,SLABS,,
AMARILLO ALPES,GRANITE,GRANITE,,"Yellowish medum-grained with an heterogeneous tone. During the polishing process, an epoxy resin is applied to the surface of the slab to fill in any natural pits, small cracks or fissures that may exist in the stone. This does not affect the durability, maintenance or beauty of the slab.",,AMARILLO_ALPES_PRODUCTO_WEB.jpg,,YELLOW,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
AZUL NOCHE,GRANITE,GRANITE,,Dark gray and blue hard granite showing some black and white shades forming awaving cloudy pattern.This granite of medium to gross size grain is widely use for decorative items due to its beautiful color.,,AZUL_NOCHE_PRODUCTO_WEB.jpg,,DARK GREY,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
AZUL PLATINO,GRANITE,GRANITE,,Grey and violet colored granite with bluish tones and homogeneous medium-grained. Stylish granite ideal for exclusive environments.,,AZUL_PLATINO_PRODUCTO_WEB.jpg,,GREY,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO ALBA,GRANITE,GRANITE,,,,,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO ALMENDRA,GRANITE,GRANITE,,,,,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO ANDRÓMEDA,GRANITE,GRANITE,,,,,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO ALPES,GRANITE,GRANITE,,Creamy white medium-grained compact and homogeneous granite. It shows pale grey quartz with coarse grained size.,,BLANCO_ALPES_PRODUCTO_WEB.jpg,,PALE GREY,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO CASTILLA,GRANITE,GRANITE,,Medium grain granite and grayish white color.,,BLANCO_CASTILLA_PRODUCTO_WEB.jpg,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO CRISTAL,GRANITE,GRANITE,,Very compact and homogeneous fine-grained light gray granite. The almost absence of black mica gives it a luminous appearance.,,BLANCO_CRISTAL_PRODUCTO_WEB.jpg,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
BLANCO RAFAELA,GRANITE,GRANITE,,,,,,,"POLISHED,SAWN,FLAMED,SHOT-BLASTED,HONED,BRUSHED,RESINED SLAB,LEATHERED,RUSTIK",,,,,,,,,,,,Several formats // Thickness 20-30 mm,SLABS,,
