PRODUCT,MATERIEL,GAMME,REFERENCE,DESCRIPTION,CATALOGUE,IMAGES PRODUIT,IMAGES AMBIENCE,MAIN COLOR,FINITION,ESPACES 1,ESPACES 2,ESPACES 3,ESPACES 4,ESPACES 5,ESPACES 6,UTILISATIONS,UTILISATIONS 2,UTILISATIONS 3,UTILISATIONS 4,UTILISATIONS 5,FORMATS,OPTIONS,FICHE TECNIQUE,ORIGINE
FUJI ,SCHIEFER,FUJI,2000055328,"Dank seines schwarzen Farbtons, seiner Rauheit und dem natürlichen Aussehen passt sich unser spanischer Schiefer an jede Umgebung im Aussenbereich an. Bearbeitung: Beidseitig naturgespalten, Kanten rundum gesägt.",,"ARDOISE_MUSTANG_PALIS_80X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_80X50_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_100X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_120X30_PRODUCTO_WEB.jpg,ARDOISE_MUSTANG_PALIS_120X50_PRODUCTO_WEB.jpg,ARDOISE_FUJI_TEXTURA_WEB.jpg",ARDOISE_FUJI_AMBIENTE_WEB.jpg,SCHWARZ,NATÜRLICH,,,,,,,,,,,,Mehrere Formate // STÄRKE 30 mm,PLATTES,,
ANGOLA BLACK,GRANITE,GRANITE,,,,,,SCHWARZ,WATERJET SILK,,,,,,,,,,,,Mehrere Formate // STÄRKE 20 mm,PLATTES,,
AMARILLO ALPES,GRANITE,GRANITE,,"Gelblich mittelkörnig mit heterogenem Farbton. Während des Poliervorgangs wird ein Epoxidharz auf die Oberfläche der Platte aufgetragen, um natürliche Vertiefungen, kleine Risse oder Risse, die im Stein vorhanden sein können, auszufüllen. Dies hat keinen Einfluss auf die Haltbarkeit, Pflege oder Schönheit der Platte.",,AMARILLO_ALPES_PRODUCTO_WEB.jpg,,GELB,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
AZUL NOCHE,GRANITE,GRANITE,,"Ein kompakter Granit mit grober Körnung. Hier dominiert das ins Blau gehende Dunkelgrau, durchsetzt von Schwarz und eingestreuten silbernen Strichen. Dieser Stein aus Spanien ist berühmt für seine Widerstandsfähigkeit und wird vor allem für Böden im Außenbereich eingesetzt.",,AZUL_NOCHE_PRODUCTO_WEB.jpg,,DARK GRAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
AZUL PLATINO,GRANITE,GRANITE,,"Grauer Granit mit mittelfeiner Körnung. Seine schwarzen und weißen Flecken verleihen ihm eine gewisse Homogenität. Ein sehr robuster und vielseitiger Stein, der hauptsächlich für Böden im Außenbereich auf großen öffentlichen Baustellen, Verkehrswegen und Terrassen verwendet wird. Ein Klassiker!",,AZUL_PLATINO_PRODUCTO_WEB.jpg,,GRAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO ALBA,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO ALMENDRA,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO ANDRÓMEDA,GRANITE,GRANITE,,,,,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO ALPES,GRANITE,GRANITE,,"Cremeweißer, mittelkörniger, kompakter und homogener Granit. Es zeigt hellgrauen Quarz mit grober Körnung.",,BLANCO_ALPES_PRODUCTO_WEB.jpg,,HELLGRAU,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
BLANCO CASTILLA,GRANITE,GRANITE,,Mittelkörniger Granit und grauweiße Farbe.,,BLANCO_CASTILLA_PRODUCTO_WEB.jpg,,,"GESÄGT,GEFLAMMT,GEBÜRSTET,KUGELGESTRAHLT,GESCHLIFFEN,ANTIKISIERT,RESINIERT,SATINIERT,RUSTIK",,,,,,,,,,,,Mehrere Formate // STÄRKE 20-30 mm,PLATTES,,
