PRODUCT,MATERIEL,GAMME,REFERENCE,DESCRIPTION,CATALOGUE,IMAGES PRODUIT,IMAGES AMBIENCE,MAIN COLOR,FINITION,ESPACES 1,ESPACES 2,ESPACES 3,ESPACES 4,ESPACES 5,ESPACES 6,UTILISATIONS,UTILISATIONS 2,UTILISATIONS 3,UTILISATIONS 4,UTILISATIONS 5,FORMATS,OPTIONS,FICHE TECNIQUE,ORIGINE
CALCAIRE ALHAMBRA BEIGE,CALCAIRE,AGREGATS,2000049586,"Roche calcaire de couleur beige, composée de sédiments minéraux lui procurant une jolie texture claire.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_ALHAMBRA_BEIGE_BROSSE_TEXTURA_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_TEXTURA_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_BROSSE_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_BROSSE_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_MARGELLE_45X45_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_BROSSE_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_BROSSE_DALLAGE_OPUS4_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_DALLAGE_OPUS4_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_BEIGE_TUMBLED_PAVE_15X15_COMPOSICION_WEB.jpg",CALCAIRE_ALHAMBRA_BEIGE_AMBIENTE_WEB.jpg,BEIGE,SABLÉE-BROSSÉE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES (rives sciées), MARGELLES (rives scées viellies - chant vu nez 1/2 rond)",,
CALCAIRE ALHAMBRA GRIS,CALCAIRE,AGREGATS,2000055038,"Roche calcaire de couleur gris, composée de sédiments minéraux lui procurant une jolie texture claire.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_ALHAMBRA_GRIS_BROSSE_TEXTURA_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_TUMBLED_TEXTURA_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_BROSSE_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_BROSSE_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_TUMBLED_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_TUMBLED_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_BROSSE_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_BROSSE_DALLAGE_OPUS4_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_TUMBLED_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_ALHAMBRA_GRIS_TUMBLED_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_ALHAMBRA_GRIS_AMBIENTE_WEB.jpg,GRIS,SABLE-BROSSÉE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES (rives sciées), MARGELLES (rives scées viellies - chant vu nez 1/2 rond)",,
ARDOISE CARRÉ NOIRE (ESP),,,,"Ardoise naturelle avec une surface légèrement structurée. Parfaitement adaptée à l’usage extérieur, cette roche s’accorde facilement à des projets d’aménagement paysager.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,",,",,,,,,,,,,,,,,,,,,
CALCAIRE AMPILLY,CALCAIRE,AGREGATS,2000048406,"Ce calcaire discret et raffiné aux nuances de beige clair à miel a un aspect très naturel avec ses quelques veinages. Il est un « grand classique »,.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_AMPILLY_TEXTURA_WEB.jpg,CALCAIRE_AMPILLY_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_AMPILLY_DALLAGE_LL50_PRODUCTO_WEB.jpg,CALCAIRE_AMPILLY_DALLAGE_LL50_COMPOSICION_WEB.jpg,CALCAIRE_AMPILLY_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_AMPILLY_AMBIENTE_WEB.jpg,BEIGE,"ANTIQUE,BROSSËE",PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,,"DALLAGES (rives sciées vieillies), DALLAGES (rives sciées)",,
CALCAIRE DE BAVIERE,CALCAIRE,AGREGATS,2000002276,,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,",,",,,,,,,,,,,,,,,,,,
CALCAIRE AVALLON GRIS,CALCAIRE,AGREGATS,2000044090,"Roche sédimentaire moyenne à grains fins de couleur grise avec des tâches noires. Elle est hétérogène, avec des zones où les dimensions des composants sont plus petites.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_AVALLON_GRIS_TEXTURA_WEB.jpg,CALCAIRE_AVALLON_GRIS_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_AVALLON_GRIS_MARGELLE_PRODUCTO_WEB.jpg,CALCAIRE_AVALLONS_GRIS_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_AVALLONS_GRIS_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_AVALLON_GRIS_AMBIENTE_WEB.jpg,GRIS,ANTIQUE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES (rives sciées viellies), MARGELLES (rives sciées viellies - chant vu nez 1/2 rond)",,
CALCAIRE BLEU D'ASIE,CALCAIRE,AGREGATS,2000047573,"Roche sédimentaire calcaire, compacte, réputée pour sa dureté et sa très faible porosité. Une forte présence de fossiles animaux et de coquillages qui confère les nuances du bleu foncé au gris bleu si typiques et si particulières.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_BLEU_ASIE_TEXTURA_WEB.jpg,CALCAIRE_BLEU_ASIE_PAVE_10X10_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_ASIE_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_ASIE_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_ASIE_BORDURE_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_LACTE_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_BLEU_LACTE_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_BLEU_ASIE_AMBIENTE_WEB.jpg,BLEUE,"ANTIQUE,2 CHANTS ADOUCIS",PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,"DALLAGES (rives sciées viellies), PAVÉS (rives sciées viellies), BORDURE (rives sciées), MARGELLES (rives sciées viellies - chant vu nez 1/2 rond)",,
CALCAIRE BLEU LACTÉ,CALCAIRE,AGREGATS,2000050157,Roche sédimentaire résistante avec des tonalités bleu clair. Cette pierre naturelle transmet une certaine clarté pour un style minimal et stylisé.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_BLEU_LACTE_TEXTURA_WEB.jpg,CALCAIRE_BLEU_LACTE_PAVE_10X10_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_LACTE_MARGELLE_60X30_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_LACTE_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_BLEU_LACTE_DALLAGE_60X60_COMPOSICION_WEB.jpg,CALCAIRE_BLEU_LACTE_DALLAGE_OPUS4_COMPOSICION_WEB.jpg,CALCAIRE_BLEU_LACTE_PAVE_15X15_COMPOSICION_WEB.jpg",CALCAIRE_BLEU_LACTE_AMBIENTE_WEB.jpg,BLEUE,"SABLÉE,ANTIQUE SABLÉE",PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES (rives sciées), PAVÉS (rives sciées vieillies), MARGELLES (rives sciées - chant vu nez droit chanfreiné)",,
CALCAIRE CHABLIS BEIGE,CALCAIRE,AGREGATS,2000044082,Roche calcaire de couleur beige et sable,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_CHABLIS_BEIGE_TEXTURA_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_MARGELLE_PRODUCTO_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_PAVE_15X15_PRODUCTO_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_DALLAGE_OPUS4_COMPOSICION_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_CHABLIS_BEIGE_PAVE_15X15_COMPOSICION_WEB.jpg",CALCAIRE_CHABLIS_BEIGE_AMBIENTE_WEB.jpg,BEIGE,ANTIQUE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES (rives sciées viellies), PAVÉS (rives sciées viellies), MARGELLES (rives sciées viellies - chant vu nez 1/2 rond)",,
CALCAIRE DE L'YONNE,CALCAIRE,AGREGATS,2000002278,Calcaire beige aux touches de jaune.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_YONNE_TEXTURA_WEB.jpg,CALCAIRE_YONNE_BARETTE_PRODUCTO_WEB.jpg,CALCAIRE_YONNE_PAS_PRODUCTO_WEB.jpg",CALCAIRE_YONNE_AMBIENTE_WEB.jpg,BEIGE,"NATURELLE,ÉCLATÉE",SALON ,CUISINE,CHEMINÉE,JARDIN,TERRASSE,,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL EXTÉRIEUR,,,,"DALLAGES (toutes faces naturelles), BARRETTES (toutes faces éclatées)",,
CALCAIRE KOTHA BRUN,CALCAIRE,AGREGATS,2000043818,Roche calcaire dolomite de nuances verte et brune.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_KOTHA_BRUN_TEXTURA_WEB.jpg,CALCAIRE_KOTHA_BRUN_PAVE_24X18_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_PAVE_18X12_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_PAVE_12X12_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_MARGELLE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_COUVERTINE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_BORDURE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_BRUN_PAVE_12X12_COMPOSICION_WEB.jpg,CALCAIRE_KOTHA_BRUN_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_KOTHA_BRUN_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_KOTHA_BRUN_AMBIENTE_WEB.jpg,BRUN,NATURELLE-VIEILLIE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,,"DALLAGES (rives éclatées vieillies), DALLAGES (rives sciées viellies), PAVÉS (rives sciées viellies), MARGELLES (rives sciées viellies - chant vu nez 1/2 rond), COUVERTINES (rives éclatées vieillies), BORDURES (rives éclatées vieillies)",,
CALCAIRE KOTHA GRIS,CALCAIRE,AGREGATS,2000043819,Roche calcaire dolomite de nuances verte et brune.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_KOTHA_GRIS_TEXTURA_WEB.jpg,CALCAIRE_KOTHA_GRIS_MARGELLE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_GRIS_COUVERTINE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_GRIS_BORDURE_PRODUCTO_WEB.jpg,CALCAIRE_KOTHA_GRIS_DALLAGE_60X40_COMPOSICION_WEB.jpg,CALCAIRE_KOTHA_GRIS_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",,GRIS,NATURELLE-VIEILLIE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,,"DALLAGES (rives éclatées vieillies), DALLAGES (rives sciées viellies), PAVÉS (rives sciées viellies), MARGELLES (rives sciées viellies - chant vu nez 1/2 rond), COUVERTINES (rives éclatées vieillies), BORDURES (rives éclatées vieillies)",,
CALCAIRE MONTIGNY,CALCAIRE,AGREGATS,2000053284,"Les nuances naturelles de beige, doré et ocre de ce calcaire sont particulièrement harmonieuses.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_MONTIGNY_TEXTURA_WEB.jpg,CALCAIRE_MONTIGNY_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_MONTIGNY_DALLAGE_LL50_PRODUCTO_WEB.jpg,CALCAIRE_MONTIGNY_DALLAGE_LL50_COMPOSICION_WEB.jpg,CALCAIRE_MONTIGNY_DALLAGE_OPUS4_COMPOSICION_WEB.jpg",CALCAIRE_MONTIGNY_AMBIENTE_WEB.jpg,BEIGE,"ANTIQUE,BROSSËE",PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,,"DALLAGES (rives sciées vieillies), DALLAGES (rives sciées)",,
CALCAIRE SAINT AMBREUIL,CALCAIRE,AGREGATS,2000041635,Calcaire à la couleur blanc-beige très épurée. Aspect brillant. Pierre haut de gamme.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"CALCAIRE_SAINT_AMBREUIL_TEXTURA_WEB.jpg,CALCAIRE_SAINT_AMBREUIL_MARGELLE_PRODUCTO_WEB.jpg,CALCAIRE_SAINT_AMBREUIL_DALLAGE_60X40_PRODUCTO_WEB.jpg,CALCAIRE_SAINT_AMBREUIL_DALLAGE_60X60_COMPOSICION_WEB.jpg",CALCAIRE_SAINT_AMBREUIL_AMBIENTE_WEB.jpg,BEIGE,SABLÉE-BROSSÉE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,DALLAGES (rives sciées),,
GNEISS BIASCA,GNEISS,AGREGATS,2000052100,"Pierre naturelle légèrement structurée du fait de sa finition flammée, ses nuances de gris plus ou moins soutenues en font une pierre moderne et élégante parfaite pour vos projets extérieurs.",https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"GNEISS_BIASCA_TEXTURA_WEB.jpg,GNEISS_BIASCA_MARGELLE_80X30_PRODUCTO_WEB.jpg,GNEISS_BIASCA_DALLAGE_80X40X3_PRODUCTO_WEB.jpg,GNEISS_BIASCA_DALLAGE_120X40_PRODUCTO_WEB.jpg,GNEISS_BIASCA_DALLAGE_80X40_COMPOSICION_WEB.jpg,GNEISS_BIASCA_DALLAGE_120X40_COMPOSICION_WEB.jpg",GNEISS_BIASCA_AMBIENTE_WEB.jpg,GRIS,FLAMMÉE,PISCINE,SALON,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,,,"DALLAGES (rives sciées), MARGELLE (bord droit flammé)",,
GNEISS GRIS ROUX,GNEISS,AGREGATS,2000002651,Quartzite de couleur gris roux au style rustique et à l’aspect très chaleureux,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"GNEISS_GRIS_ROUX_TEXTURA_WEB.jpg,GNEISS_GRIS_ROUX_DALLAGE_LL40_PRODUCTO_WEB.jpg,GNEISS_GRIS_ROUX_PAVE_15X15_PRODUCTO_WEB.jpg,GNEISS_GRIS_ROUX_DALLAGE_LL40_COMPOSICION_WEB.jpg,GNEISS_GRIS_ROUX_OPUS_INCERTUM_COMPOSICION_WEB.jpg",GNEISS_GRIS_ROUX_AMBIENTE_WEB.jpg,GRIS,"NATURELLE,NATURELLE-VIEILLIE",TERRASSE,PISCINE,JARDIN,,,,SOL EXTÉRIEUR,,,,,,"DALLAGES (rives sciées), PAVÉS (rives sciées vieillies)",,
GNEISS SAINT YRIEIX,GNEISS,AGREGATS,2000002297,Roche de couleur brun-orangé et d’aspect brillant. Elle présente un litage marqué alternant de très fines couches de couleur claire et d’autres plus paisses et plus sombres. La roche est légèrement altérée et possède une légère porosité suivant les lits.,https://cupastonefr.servidor.gal/wp-content/uploads/sites/7/recursos/CATALOGUE_PIERRE_NATURELLE_FRANCE.pdf,"GNEISS_ST_YRIEIX_TEXTURA_WEB.jpg,GNEISS_ST_YRIEIX_MOELLON_PRODUCTO_WEB.jpg,GNEISS_ST_YRIEIX_PAREMENT_PRODUCTO_WEB.jpg,GNEISS_ST_YRIEIX_PAS_PRODUCTO_WEB.jpg,GNEISS_ST_YRIEIX_PLAC_PRODUCTO_WEB.jpg,GNEISS_ST_YRIEIX_OPUS_INCERTUM_COMPOSICION_WEB.jpg",GNEISS_ST_YRIEIX_AMBIENTE_WEB.jpg,BEIGE,"NATURELLE,ÉCLATÉE",SALON ,CUISINE,SALLE DE BAIN,TERRASSE,JARDIN,CHEMINÉE,MUR INTÉRIEUR,MUR EXTÉRIEUR,SOL INTÉRIEUR,SOL EXTÉRIEUR,,,"DALLAGES, BARRETTES, MOELLONS, PLACAGES DE BARRETTES, DALLES DE RIVES (dessus de mur)",,
