PRODUCT,MATERIEL,GAMME,REFERENCE,DESCRIPTION,CATALOGUE,IMAGES PRODUIT,IMAGES AMBIENCE,MAIN COLOR,FINITION,ESPACES 1,ESPACES 2,ESPACES 3,ESPACES 4,ESPACES 5,ESPACES 6,UTILISATIONS,UTILISATIONS 2,UTILISATIONS 3,UTILISATIONS 4,UTILISATIONS 5,FORMATS,OPTIONS,FICHE TECNIQUE,ORIGINE
ARDÓSIA CELESTE,ARDÓSIA,PEDRA NATURAL,2000002975,Ardósia com tom cinza-esverdeado e textura de ardósia.,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"PIZARRA_CELESTE_COMPOSICION_PRODUCTO_WEB.jpg,PIZARRA_CELESTE_TEXTURA_PRODUCTO_WEB.jpg",PIZARRA_CELESTE_AMBIENTE_WEB.jpg,CINZA,"NATURAL CALIBRADA,ESCOVADA CALIBRADA",all,,,,,,all,,,,,Padrão: 30x30; 60x30; 60x40; 225x130 / Espessura: 1 - 3,Mosaico,,
ARDÓSIA GRAFFITI,ARDÓSIA,PEDRA NATURAL,2000000062,Ardósia em tons negros com veios acinzentados.,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"PIZARRA_GRAFFITI_COMPOSICION_PRODUCTO_WEB.jpg,PIZARRA_GRAFFITI_TEXTURA_PRODUCTO_WEB.jpg",PIZARRA_GRAFFITI_AMBIENTE_WEB.jpg,CINZA,NATURAL CALIBRADA,all,,,,,,all,,,,,Padrão: 60x30; 60x40; 225x130 / Espessura 1-3,,,
ARDÓSIA MAKALI,ARDÓSIA,PEDRA NATURAL,2000044184,"Ardósia escura em tons negros, muito rugosa e de aspecto natural e, por vezes, pode apresentar oxidação e/ou carbonatos",https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,,,NEGRO,NATURAL,all,,,,,,all,,,,,"Padrão: 60x30 / Espessura 1- 2,2",,,
ARDÓSIA MULTICOLOR,ARDÓSIA,PEDRA NATURAL,2000000108,"Ardósia multicor com tons verdes, ocre e óxido que se apresentam na sua textura com formas circulares.",https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"PIZARRA_MULTICOLOR_COMPOSICION_PRODUCTO_WEB.jpg,PIZARRA_MULTICOLOR_TEXTURA_PRODUCTO_WEB.jpg",PIZARRA_MULTICOLOR_AMBIENTE_WEB.jpg,DOURADO,NATURAL CALIBRADA,all,,,,,,all,,,,,Padrão: 60x30; 60x40; 225x130 / Espessura 1-3,,,
ARDÓSIA VERDE BOSQUE,ARDÓSIA,PEDRA NATURAL,2000000007,"Ardósia de cor cinza-esverdeada muito homogénea e compacta, composta por micrólitos de sericite.",https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,,,VERDE,NATURAL CALIBRADO,all,,,,,,all,,,,,Padrão: 60x30; TABLA / Espessura: 1-3,,,
ARENITO CHOCOLATE,ARENITO,PEDRA NATURAL,2000043132,"Rocha de cor castanha-avermelhada, compacta e de linha marcada com rebordos escuros alternando com outros avermelhados",https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"ARENISCA_CHOCOLATE_COMPOSICION_PRODUCTO_WEB.jpg,ARENISCA_CHOCOLATE_TEXTURA_PRODUCTO_WEB.jpg",ARENISCA_CHOCOLATE_AMBIENTE_WEB.jpg,CASTANHO,"NATURAL,NATURAL CALIBRADO",BANHO,COZINHA,JARDIM,SALA DE ESTAR,TERRAÇO,QUARTO,FACHADA,PAREDE INTERIOR,PISO EXTERIOR,,,"Padrão: 60x45; 90x60 / Espessura: 2,5-3,5 cm",,,
ARENITO MULTICOLOR,ARENITO,PEDRA NATURAL,2000055448,Rocha natural de arenito caracterizada por sua dureza e longevidade. Formado por sedimentos naturais acumulados ao longo de milhares de anos.,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"ARENISCA_MULTICOLOR_COMPOSICION_PRODUCTO_WEB.jpg,ARENISCA_MULTICOLOR_TEXTURA_PRODUCTO_WEB.jpg",ARENISCA_MULTICOLOR_AMBIENTE_WEB.jpg,,NATURAL CALIBRADO,,,,,,,,,,,,Padrão: 60x45; 90x60 / Espessura: 2 cm,,,
ARENITO TEKA,ARENITO,PEDRA NATURAL,2000000358,Rocha de cor bege com veios em castanho e aspecto de madeira,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"ARENISCA_TEKA_COMPOSICION_PRODUCTO_WEB.jpg,ARENISCA_TEKA_TEXTURA_PRODUCTO_WEB.jpg",ARENISCA_TEKA_AMBIENTE_WEB.jpg,TERRA,ALISADO CALIBRADO,all,,,,,,FACHADA,PAREDE INTERIOR,,,,Padrão: 60x30; 60x40 e Painel / Espessura: 2-3 cm,,,
ARENITO TERRA,ARENITO,PEDRA NATURAL,2000000403,Arenito de aspecto homogéneo com tons bege e veios castanho claro.,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"ARENISCA_TERRA_COMPOSICION_PRODUCTO_WEB.jpg,ARENISCA_TERRA_TEXTURA_PRODUCTO_WEB.jpg",ARENISCA_TERRA_AMBIENTE_WEB.jpg,BEGE,NATURAL RETIFICADO,BANHO,COZINHA,JARDIM,SALA DE ESTAR,TERRAÇO,QUARTO,FACHADA,PAREDE INTERIOR,PISO EXTERIOR,PISO INTERIOR,CHAMINÉ,Padrão: 60x30 / Espessura: 1-2 cm,,,
CALCÁRIO ALHAMBRA,CALCÁRIO,PEDRA NATURAL,2000052997,"Pedra natural de tipo calcário, em acabamento bujardado. Os tons predominantes são o castanho claro e o bege",https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"CALIZA_ALHAMBRA_COMPOSICION_PRODUCTO_WEB.jpg,CALIZA_ALHAMBRA_TEXTURA_PRODUCTO_WEB.jpg",CALIZA_ALHAMBRA_AMBIENTE_WEB.jpg,BEGE,"BUJARDADO CALIBRADO,GRANALLADO CEPILLADO (TRADUCIR)",all,,,,,,FACHADA,PAREDE INTERIOR,PISO EXTERIOR,PISO INTERIOR,CHAMINÉ,Padrão: 60x40 / Espessura: 2 cm,,,
CALCÁRIO AZABACHE,CALCÁRIO,PEDRA NATURAL,2000000336,Pedra calcária de cor negra e aspecto bujardado na sua face natural,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"CALIZA_AZABACHE_COMPOSICION_PRODUCTO_WEB.jpg,CALIZA_AZABACHE_TEXTURA_PRODUCTO_WEB.jpg",CALIZA_AZABACHE_AMBIENTE_WEB.jpg,CINZA ESCURO,"NATURAL RETIFICADO,ALISADO RETIFICADO,TUMBLED CALIBRADO",all,,,,,,all,,,,,"Padrão: 60x30; 60x40 e TABLA / Espessura: 1,2 - 3 cm",,,
CALCÁRIO CHAMBAL,CALCÁRIO,PEDRA NATURAL,2000047289,Pedra calcária em tons verdes e escuros com formaçoes dolomíticas,https://cupastonept.servidor.gal/wp-content/uploads/sites/4/recursos/CUPA_STONE_PEDRA_NATURAL_2022.pdf,"CALIZA_CHAMBAL_COMPOSICION_PRODUCTO_WEB.jpg,CALIZA_CHAMBAL_TEXTURA_PRODUCTO_WEB.jpg",CALIZA_CHAMBAL_AMBIENTE_WEB.jpg,CASTANHO,"NATURAL RETIFICADO,TUMBLED RETIFICADO",BANHO,COZINHA,JARDIM,SALA DE ESTAR,TERRAÇO,QUARTO,FACHADA,PAREDE INTERIOR,PISO EXTERIOR,PISO INTERIOR,CHAMINÉ,Padrão: 60x30; 60x40 e 60x45 / Espessura: 2 cm,Opus 4,,
